smiles,IE
OCc1cn(Cc2ccccc2)nn1,89.3
OCc1cn(Cc2ccncc2)nn1,90.2
CCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],93.46
CCCCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],94.18
CCCCCCCCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],95.04
NC(=O)c1ccc(/N=C/c2cccs2)cc1,88.0
O=P(O)(O)CN(CCCCCCN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O,73.27
C(=N/c1ccc(Cc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,76.1
COc1ccc(N)c([N+](=O)[O-])c1,86.1
CNc1ccc(OC)cc1,82.7
COc1ccc(C=O)cc1Br,81.9
C/C(=N\c1ccccc1)c1c(O)cc(C)oc1=O,86.5
C/C(=N\c1ccccc1Cl)c1c(O)cc(C)oc1=O,81.4
CCOC(=O)C1=C(c2ccccc2)C(C#N)=C(N)OC1C,68.0
CC(=O)c1c(O)cc(C)oc1=O,80.6
NCc1ccc(O)c2ncccc12,87.1
CC(=O)NCc1ccc(O)c2ncccc12,91.9
CN(C)Cc1ccc(O)c2ncccc12,92.8
O=S(=O)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,97.6
c1ccc(-c2ccccc2OCC2CO2)c(OCC2CO2)c1,95.8
CN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,89.1
Oc1ccc(COCc2ccccc2)c2cccnc12,94.2
CCN(CC)CCOCc1ccc(O)c2ncccc12,93.7
Oc1ccccc1/C=N/c1ccccc1O,80.0
Cc1ccc(O)c(/C=N/c2ccccc2O)c1,85.0
COc1ccc(O)c(/C=N/c2ccccc2O)c1,91.0
C=CCSc1nc2ccccc2[nH]1,93.7
c1ccc2[nH]c(SCSc3nc4ccccc4[nH]3)nc2c1,97.1
CCCCCCn1cc[n+](C)c1.[I-],92.4
CCCCn1cc[n+](C)c1.[I-],82.4
CCCn1cc[n+](C)c1.[I-],77.4
CCOC(=O)C1N=NN(CC2(CC)COC(c3ccccc3)=N2)C1C(=O)OCC,92.5
CCCCCCCC[N+](C)(C)CCOCCO.[Br-],91.9
CCCCCCCC[N+](C)(C)c1ccc(/C=N/c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],85.03
CCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],91.27
CCCCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],94.01
O=C(C[n+]1ccccn1)c1ccc(Cl)cc1.[Br-],91.0
Nc1ccc2sc3ccc(N)cc3c2c1,89.5
C(=N/c1ccc2sc3ccc(/N=C/c4cccs4)cc3c2c1)\c1cccs1,86.4
Oc1ccccc1C=Nc1ccccc1O,88.0
Cc1ccccc1N=Cc1ccccc1O,93.0
COc1ccccc1N=Cc1ccccc1O,85.0
O=c1n(Cc2ccc(O)c3ncccc23)c2ccccc2n1Cc1ccc(O)c2ncccc12,94.5
C=C(C)n1c(=O)n(Cc2ccc(O)c3ncccc23)c2ccccc21,93.6
c1ccc(N(CC2CO2)CC2CO2)cc1,96.3
Clc1ncc[nH]1,47.7
CC(=O)c1ccc(-n2ccnc2)cc1,70.5
Nc1ccc(-n2ccnc2)cc1,66.2
O=Cc1ccc(-n2ccnc2)cc1,72.2
Brc1ccc(-n2ccnc2)cc1,56.4
Clc1ccc(-n2ccnc2)cc1,51.3
Oc1ccc(-n2ccnc2)cc1,78.4
Clc1cccc(-n2ccnc2)c1,57.2
Clc1ccccc1-n1ccnc1,51.9
ClCc1nc2ccccc2[nH]1,81.0
Brc1ccc2nc[nH]c2c1,60.7
Nc1ccc2nc[nH]c2c1,62.6
[Br-].c1ccc(OCCC[n+]2ccccn2)cc1,91.03
C(=N/c1ccc(Oc2ccc(/N=C/c3ccccn3)cc2)cc1)\c1ccccn1,81.14
C(=N/c1ccc(Oc2ccc(Oc3ccc(/N=C/c4ccccn4)cc3)cc2)cc1)\c1ccccn1,87.83
O=[N+]([O-])c1ccc(-c2nc3ccccc3[nH]2)cc1,95.9
Nc1ccc(-c2nc3ccccc3[nH]2)cc1,93.9
O=[N+]([O-])c1ccccc1-c1nc2ccccc2[nH]1,90.9
Nc1ccccc1-c1nc2ccccc2[nH]1,89.3
c1ccc(-c2nc3ccccc3[nH]2)cc1,87.9
Oc1ccccc1-c1nc(-c2ccccc2)c(-c2ccccc2)n1-c1ccccc1,94.0
COc1cc(O)ccc1-c1nc(-c2ccccc2)c(-c2ccccc2)n1-c1ccccc1,95.4
CC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],88.8
CCCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],92.3
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-],75.0
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,86.8
CC1(C)S[C@@H]2[C@H](NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,82.4
CC1(C)S[C@@H]2[C@H](NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,66.6
COc1ccc(O)c(/C=N/N2C(=O)c3ccccc3NC2c2cc(OC)ccc2O)c1,93.0
O=C1c2ccccc2NC(c2cc([N+](=O)[O-])ccc2O)N1/N=C/c1cc([N+](=O)[O-])ccc1O,90.2
CC(C)c1ccc(/C=N/Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,93.46
CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],93.4
CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],98.5
c1ccc(Cc2ccc3ncccc3c2)cc1,96.54
O=S(=O)(O)c1c(Cc2ccc3ncccc3c2)c(S(=O)(=O)O)c(S(=O)(=O)O)c(S(=O)(=O)O)c1S(=O)(=O)O,98.03
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,79.4
CC(C)(c1ccc(OC(=S)SCC2CO2)cc1)c1ccc(C(=S)SCC2CO2)cc1,96.0
Cc1ccc(-c2nc3ccccc3c(=O)n2C)cc1,92.27
Cn1c(-c2ccccc2)nc2ccccc2c1=O,89.93
Cn1c(-c2ccc([N+](=O)[O-])cc2)nc2ccccc2c1=O,90.72
Cn1c(-c2ccc(O)cc2)nc2ccccc2c1=O,91.94
N[C@@H](CS)C(=O)O,45.0
CN1CCN(C(=S)NCc2ccc(O)c3ncccc23)CC1,95.1
Oc1ccc(CNC(=S)N2CCN(c3ccccc3)CC2)c2cccnc12,93.5
CCCCCCC[n+]1ccccn1.[I-],91.4
CCCCCCCCC[n+]1ccccn1.[I-],87.7
CCCCCCCC[n+]1ccccn1.[I-],89.2
CCOc1ccc(/C=N/NC(N)=S)cc1,81.0
NC(=S)N/N=C/c1ccc(O)cc1,89.0
COc1cc(/C=N/NC(N)=S)ccc1O,88.0
NC(=S)N/N=C/c1ccccn1,78.0
NC(=O)N/N=C/c1cc2ccccc2[nH]1,63.0
CNC(=O)N/N=C/c1ccccn1,52.0
CCCCCCCCCCCCCSc1nc2ccccc2[nH]1,95.7
CN(C)c1ccc(/C=N/c2ccccc2S)cc1,77.0
O=C1Nc2ccccc2SC1c1ccc(Cl)cc1,94.0
Cc1ccc(C2Nc3ccccc3SC2=O)cc1,92.0
N#CC1=C(N)N(C2[C@H](O)[C@@H](O)[C@H](CO)O[C@H]2O)c2[nH]c(=O)[nH]c(=O)c2C1c1ccc([N+](=O)[O-])cc1,87.79
CCCCCCSc1ncn[nH]1,91.0
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnnn2[K])cc1,83.0
c1ccc2[nH]c(-c3cscn3)nc2c1,86.1
c1cc(N(CC2CO2)CC2CO2)ccc1Oc1ccc(N(CC2CO2)CC2CO2)cc1,91.3
CCN(CC)c1ccc(C=Nc2nnc(S)s2)cc1,96.9
CC(C)(C)OC(=O)NCc1ccc(O)c2ncccc12,94.9
CCOC(=O)CC(=O)NCc1ccc(O)c2ncccc12,83.1
C[N+]1=CCN(CCO)C1.O=S(=O)(F)[N-]S(=O)(=O)F,13.7
C[N+]1=CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,26.4
O=c1c2ccccc2[nH]c2ccc([N+](=O)[O-])cc12,83.8
Cn1cc[n+](CCO)c1.F[P-](F)(F)(F)(F)F,43.77
CCCCCCOC1C2OC(C)(C)O[C@H]2O[C@]12CO2,94.3
CCCCCCCCCCCCOC1C2OC(C)(C)O[C@H]2O[C@]12CO2,94.4
CCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],97.27
CCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],97.76
CCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],97.11
Cc1cc(C)n(CC(=O)N/N=C/c2ccccc2)n1,75.7
Cc1cc(C)n(CC(=O)N/N=C/c2ccc(Cl)cc2)n1,93.0
NCc1nc2ccccc2[nH]1,63.4
c1ccc2[nH]c(CNCc3nc4ccccc4[nH]3)nc2c1,88.6
c1ccc2[nH]c(CN(Cc3nc4ccccc4[nH]3)Cc3nc4ccccc4[nH]3)nc2c1,92.0
C(COc1nc(OCCOCC2CO2)nc(OCCOCC2CO2)n1)OCC1CO1,84.0
Oc1ccc(CC2=NCCN2)c2cccnc12,96.19
Oc1ccc(CC2=NCCO2)c2cccnc12,91.65
C(=N/c1ccc(Oc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,82.0
C(=N/c1ccc(CCc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,81.1
COOCc1c(N)nnn1Cc1ccc(O)c2ncccc12,87.0
Cc1cc(O)c(C(=O)/C=C/c2cccc3cccnc23)c(=O)o1,85.2
Cc1cc(O)c(C(=O)/C=C/c2ccc(N(C)C)cc2)c(=O)o1,89.8
c1ccc2[nH]c(-c3ccncc3)nc2c1,80.5
NOCc1ccc(O)c2ncccc12,96.9
NNCc1ccc(O)c2ncccc12,97.0
CCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],88.6
CCCCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],87.8
NCCNCc1ccc(O)c2ncccc12,96.9
NCCOCc1ccc(O)c2ncccc12,98.9
Cc1ccc(NC(=O)Cn2c(-c3ccc(Cl)cc3)nc3ccccc32)cc1,94.6
Cc1cc(C)cc(NC(=O)Cn2c(-c3ccc(Cl)cc3)nc3ccccc32)c1,95.0
O=C(Cn1c(-c2ccc(Cl)cc2)nc2ccccc21)Nc1ccccc1,92.6
Cc1cc2nc(-c3ccc(Br)cc3)n(Cc3ccc(O)c4ncccc34)c2cc1C,97.0
Oc1ccc(Cn2c(-c3ccc(Br)cc3)nc3ccccc32)c2cccnc12,92.1
Nc1nc(N)nc(N)n1,63.87
CCCCCCCCNc1nc(NCCCN(C)C)nc(NCCCN(C)C)n1,96.53
CCCCCCCCNc1nc(NCCCN(C)C)nc(Sc2nnc(C)s2)n1,96.72
CCOP(=O)(O)C(NC)c1ccccc1OC,94.06
CCOP(=O)(O)C(NC)c1cccc(OC)c1,86.64
Cc1nc(-c2ccccc2)cs1,90.3
CN=C(C)S/C=C(\C)c1ccc(O)cc1,91.6
Nc1nc(-c2ccc(O)cc2)c(Sc2sc(N)nc2-c2ccc(O)cc2)s1,85.1
Sc1nc2ccccc2[nH]1,87.0
c1ccc2[nH]c(SSc3nc4ccccc4[nH]3)nc2c1,92.0
O=C(OCc1ccc(O)c2ncccc12)c1ccc(Cl)cc1,93.1
O=C(OCc1ccc(O)c2ncccc12)c1ccc([N+](=O)[O-])cc1,90.1
Nc1nc2[nH]cnc2c(=O)[nH]1,67.8
Nc1ncnc2[nH]cnc12,69.9
Nc1nc(N)c2nc[nH]c2n1,70.9
Nc1nc(S)c2nc[nH]c2n1,78.4
Sc1nc(S)c2nc[nH]c2n1,85.4
Nn1c(S)nnc1Cn1cncn1,71.6
O=[N+]([O-])c1ccccc1C=Nn1c(S)nnc1Cn1cncn1,89.1
Fc1ccccc1C=Nn1c(S)nnc1Cn1cncn1,89.2
COc1ccccc1C=Nn1c(S)nnc1Cn1cncn1,92.4
CN(C)c1ccc(C=Nn2c(S)nnc2Cn2cncn2)cc1,93.4
Sc1nnc(Cn2cncn2)n1N=Cc1ccc(Cl)cc1,96.9
O=C(Cn1cncn1)NNC(=S)NC(O)c1ccccc1,97.8
Cc1cc(C)cc(C(O)NC(=S)NNC(=O)Cn2cncn2)c1,94.8
CC(=NOCn1cnnc1)c1ccc(Cl)cc1,96.8
COc1ccc(C(C)=NOCn2cnnc2)cc1,93.8
CC(=NOCn1cnnc1)c1ccc(F)cc1,93.5
CC(=NOCn1cnnc1)c1ccc(Cl)c(Cl)c1,98.7
CC(=NOCn1cnnc1)c1cc(Cl)ccc1Cl,98.0
O=C(Cn1cncn1)N1CCC(c2ccccc2)=N1,98.0
O=C(Cn1cncn1)N1CCC(c2ccc(F)cc2)=N1,97.0
O=C(Cn1cncn1)N1CCC(c2ccc(Cl)cc2Cl)=N1,99.0
O=C(CSc1nnc(Cn2cncn2)o1)c1ccccc1,98.4
CC(C)(C)c1ccc(CSc2nnc(Cn3cncn3)o2)cc1,98.6
CC(=O)N1N=C(Cn2cncn2)OC1c1ccc([N+](=O)[O-])cc1,98.8
COc1ccc(C(=O)CSc2nnc(Cn3cncn3)[nH]2)cc1,98.7
O=C(C=Cc1ccc(F)cc1)c1ccc(OCn2cncn2)cc1,98.3
Nc1ccccc1Cl,63.62
Nc1ccccc1F,57.38
COc1ccccc1N,56.79
CCOc1ccccc1N,55.26
CCc1ccccc1N,49.88
Cc1ccccc1N,43.13
O=[N+]([O-])c1ccc2[nH]ncc2c1,75.9
COC1C2OC(C)(C)O[C@H]2C[C@@H]1C1CO1,92.9
CCCCCCOC1C2OC(C)(C)O[C@H]2C[C@@H]1C1CO1,94.6
Oc1ccc(CCl)c2ccc[nH+]c12.[Cl-],91.0
CN(C)Cc1ccc2cccnc2c1O,94.0
CCCN(CCC)Cc1ccc2cccnc2c1O,89.1
C#CCN1C(=O)c2ccccc2S1(=O)=O,92.47
c1ccc2ncccc2c1,82.96
c1ccc(Cc2cccc3ncccc23)cc1,94.74
Oc1ccc(Cc2ccccc2)c2cccnc12,98.06
C(=Nc1nc[nH]n1)c1ccc(C=Nc2nc[nH]n2)cc1,91.2
Oc1ncccn1,54.6
Sc1ncccn1,59.5
CCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,62.05
CCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,82.98
O=c1[nH]c2ccccc2nc1/C=C/c1ccc(Cl)cc1,92.8
CN(C)c1ccc(/C=C/c2nc3ccccc3[nH]c2=O)cc1,96.4
COc1ccc2cc(C(C)C(=O)N/N=C(\C)c3ccccc3)ccc2c1,87.0
COc1ccc2cc(C(C)C(=O)N/N=C(\C)c3ccc(Br)cc3)ccc2c1,91.0
CCN(CC)CCN1C(=O)C(=O)c2cc(Br)ccc21,93.5
CCN(CC)CCN1C(=O)C(=O)c2ccccc21,88.8
CCN(CC)CCN1C(=O)C(=O)c2cc(F)ccc21,90.6
O=C([O-])C/N=C/C=C/c1ccccc1.[K+],97.3
O=C([O-])C(Cc1c[nH]cn1)/N=C/C=C/c1ccccc1.[K+],97.7
O=C([O-])C(Cc1c[nH]c2ccccc12)/N=C/C=C/c1ccccc1.[K+],98.0
c1cc(-c2nc3ccccc3[nH]2)nc(-c2nc3ccccc3[nH]2)c1,97.0
c1ccc2[nH]c(CSCc3nc4ccccc4[nH]3)nc2c1,96.0
c1ccc2[nH]c(COCc3nc4ccccc4[nH]3)nc2c1,95.0
c1ccc2[nH]c(CCc3nc4ccccc4[nH]3)nc2c1,94.0
COc1ccc(OC)c(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)c1,95.96
COc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1,92.29
CC(=O)COc1ccc(C(=O)/C=C/c2ccc(C)cc2)cc1,85.37
c1cc(-c2nc3ccccc3s2)nc(-c2nc3ccccc3s2)c1,96.0
c1ccc2sc(CSCc3nc4ccccc4s3)nc2c1,93.0
c1ccc2sc(CCc3nc4ccccc4s3)nc2c1,91.0
C=[N+]([O-])c1cc(Cl)cc2cc(C=O)c(Cl)cc12,95.0
O=Cc1cc2cc([N+](=O)[O-])ccc2cc1Cl,85.0
O=Cc1cc2cc(Cl)ccc2cc1Cl,83.0
COc1ccc(/C=N/c2cccc(C(=O)O)c2)cc1O,87.53
O=C(O)c1cccc(/N=C/c2c(O)ccc3ccccc23)c1,89.13
C=C(/C=C(C)/N=C/C=C/c1ccc(OC)cc1)C(=O)O,97.07
COc1ccc(/C=C/C=N/c2c(C)n(C)n(-c3ccccc3)c2=O)cc1,98.14
NC(=S)N/N=C/c1ccncc1,84.5
Clc1ccc(-c2nc3ccccc3n2CCCCn2c(-c3ccc(Cl)cc3)nc3ccccc32)cc1,89.0
c1ccc(-c2nc3ccccc3n2CCCCn2c(-c3ccccc3)nc3ccccc32)cc1,81.0
CCCCCCCCCCCC[N+](C)(C)CCOC(=O)C[N+](C)(C)CC/N=C/c1ccco1.[Br-].[Cl-],94.65
CCCCCCCCCCCC[N+](C)(C)CCOC(=O)C[N+](C)(C)CC/N=C/C=C/c1ccccc1.[Br-].[Cl-],94.99
CCCCCCCCCCCC[N+](C)(C)CCOC(=O)C[N+](C)(C)CC/N=C/c1ccc(OC)cc1.[Br-].[Cl-],95.44
CSc1scc(C)[n+]1-c1ccccc1.[I-],93.86
C[N+](C)(C)CCCCCCN1C(=O)C(=O)c2ccccc21,92.07
c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,89.2
c1cnc2c(c1)c1nc(-c3ccc(-c4nc5c6cccnc6c6ncccc6c5[nH]4)cc3)[nH]c1c1cccnc12,90.3
O=C1Nc2ccccc2/C1=N/c1ccccc1,74.8
O=C1Nc2ccccc2/C1=N/c1ccc(O)cc1,91.2
O=C1Nc2ccccc2/C1=N/c1ccc(Cl)cc1,85.3
N[C@@H](Cc1ccccc1)C(=O)O,86.8
O=[N+]([O-])c1ccc(N/N=C/c2ccc(O)cc2O)c([N+](=O)[O-])c1,93.89
Cc1ccc(/C=N/Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,87.77
O=[N+]([O-])c1ccc(N/N=C/c2ccc(Cl)cc2)c([N+](=O)[O-])c1,84.3
c1ccc2c(c1)N=C1CCCCC1C1(CCCCC1)N2,89.7
CC1(c2ccccc2)Nc2ccccc2N=C2CCCCC21,93.3
O=c1cc(/N=C/c2ccccc2)nc2sc(-c3ccc(Cl)cc3)c(O)c(=O)n12,91.8
O=C(/C=N\O)Nc1ccccc1,59.5
COc1ccccc1NC(=O)/C=N\O,72.8
O=C(/C=N\O)Nc1ccccc1Br,75.1
CCCCCCCCOP(=O)([O-])Oc1ccc(/C=N/CC[N+](C)(C)CCCCCCCC)cc1OC.[Br-].[Na+],90.09
CCCCCCCCCCCCOP(=O)([O-])Oc1ccc(/C=N/CC[N+](C)(C)CCCCCCCCCCCC)cc1OC.[Br-].[Na+],90.85
CCCCCCCCCCCCCCCCOP(=O)([O-])Oc1ccc(/C=N/CC[N+](C)(C)CCCCCCCCCCCCCCCC)cc1OC.[Br-].[Na+],92.27
N#CC1=C(N)Oc2c(c(=O)oc3ccccc23)C1c1ccccc1Cl,91.6
N#CC1=C(N)Oc2c(c(=O)oc3ccccc23)C1c1ccc(Cl)cc1,86.8
Sc1nc(/N=C/c2ccco2)n[nH]1,85.0
Sc1nc(/N=C/c2cccs2)n[nH]1,87.0
N/N=C(C(=N/c1ccccc1O)/c1ccccc1)\c1ccccc1,88.62
BrCCOc1cccc2cccnc12,95.2
BrCCCOc1cccc2cccnc12,95.7
BrCCCCOc1cccc2cccnc12,97.5
O=C(N/N=C/c1ccc(O)cc1)c1cccnc1,82.3
Cc1ccc(/C=N/NC(=O)c2cccnc2)cc1,81.5
Nc1ccc(Oc2cc(Oc3ccc(N)cc3)cc(Oc3ccc(N)cc3)c2)cc1,97.4
C/C(O)=C/C(=O)c1ccccn1,89.2
Cc1cc(C(=O)/C=C(\O)c2ccccn2)nn1C,91.3
CN(C)c1ccc(/C=N/NC(=O)c2cccnc2)cc1,85.0
